network,base_token,pool_name,pool_link,pool_address,liquidity_in_usd
arbitrum,ARB ,ARB / WETH 0.05%,https://www.geckoterminal.com//arbitrum/pools/0xc6f780497a95e246eb9449f5e4770916dcd6396a,0xc6f780497a95e246eb9449f5e4770916dcd6396a,9960000
arbitrum,USDC ,USDC / WETH 0.05%,https://www.geckoterminal.com//arbitrum/pools/0xc6962004f452be9203591991d15f6b388e09e8d0,0xc6962004f452be9203591991d15f6b388e09e8d0,40350000
arbitrum,GMX ,GMX / WETH 0.3%,https://www.geckoterminal.com//arbitrum/pools/0x1aeedd3727a6431b8f070c0afaa81cc74f273882,0x80a9ae39310abf666a87c743d6ebbd0e8c42158e,29250000
arbitrum,WBTC ,WBTC / WETH 0.05%,https://www.geckoterminal.com//arbitrum/pools/0x2f5e87c9312fa29aed5c179e456625d79015299c,0x2f5e87c9312fa29aed5c179e456625d79015299c,44110000
arbitrum,WETH ,WETH / USDT 0.05%,https://www.geckoterminal.com//arbitrum/pools/0x641c00a822e8b671738d32a431a4fb6074e5c79d,0x641c00a822e8b671738d32a431a4fb6074e5c79d,13910000
arbitrum,TIA.n ,TIA.n / WETH,https://www.geckoterminal.com//arbitrum/pools/0xb57ead49ed94ead81bc8d20eeb90e9758bd88b33,0xb57ead49ed94ead81bc8d20eeb90e9758bd88b33,328710
arbitrum,AIDOGE ,AIDOGE / WETH,https://www.geckoterminal.com//arbitrum/pools/0x6a78e84fa0edad4d99eb90edc041cdbf85925961,0x6a78e84fa0edad4d99eb90edc041cdbf85925961,3860000
arbitrum,PENDLE ,PENDLE / WETH 0.3%,https://www.geckoterminal.com//arbitrum/pools/0xdbaeb7f0dfe3a0aafd798ccecb5b22e708f7852c,0xdbaeb7f0dfe3a0aafd798ccecb5b22e708f7852c,7130000
arbitrum,PNP ,PNP / WETH 1.409%,https://www.geckoterminal.com//arbitrum/pools/0x13bc35d101b646cf1f566f95077e67a9f5b301a3,0x13bc35d101b646cf1f566f95077e67a9f5b301a3,2420000
arbitrum,Boop ,Boop / WETH,https://www.geckoterminal.com//arbitrum/pools/0x184fb097196a4e2be8dfd44b341cb7d13b41ea7e,0x184fb097196a4e2be8dfd44b341cb7d13b41ea7e,474800
arbitrum,XAI ,XAI / WETH 0.3%,https://www.geckoterminal.com//arbitrum/pools/0x03a33aee5f4947b9c1cde042c5f037d1be304be7,0x03a33aee5f4947b9c1cde042c5f037d1be304be7,548650
arbitrum,LPT ,LPT / WETH 0.3%,https://www.geckoterminal.com//arbitrum/pools/0x4fd47e5102dfbf95541f64ed6fe13d4ed26d2546,0x4fd47e5102dfbf95541f64ed6fe13d4ed26d2546,884370
arbitrum,GNS ,GNS / WETH 0.3%,https://www.geckoterminal.com//arbitrum/pools/0xc91b7b39bbb2c733f0e7459348fd0c80259c8471,0xa394070a679bef332d288ba5b0c04d5f43c6b186,409650
arbitrum,RDNT ,RDNT / WETH 0.5%,https://www.geckoterminal.com//arbitrum/pools/0x32df62dc3aed2cd6224193052ce665dc18165841,0x32df62dc3aed2cd6224193052ce665dc18165841,42120000
arbitrum,GRT ,GRT / WETH 0.3%,https://www.geckoterminal.com//arbitrum/pools/0x74d0ae8b8e1fca6039707564704a25ad2ee036b0,0x74d0ae8b8e1fca6039707564704a25ad2ee036b0,2370000
arbitrum,pogai ,pogai / WETH 1%,https://www.geckoterminal.com//arbitrum/pools/0x1862200e8e7ce1c0827b792d0f9546156f44f892,0x8da66e470403b3d3eee66c67e2c61fda6e248ad1,1530000
arbitrum,DMT ,DMT / USDC 1.036%,https://www.geckoterminal.com//arbitrum/pools/0xe4e4aea5150f0fa2b302b7b69427ecfb2a56133a,0xe4e4aea5150f0fa2b302b7b69427ecfb2a56133a,2020000
arbitrum,MAGIC ,MAGIC / WETH,https://www.geckoterminal.com//arbitrum/pools/0xb7e50106a5bd3cf21af210a755f9c8740890a8c9,0xb7e50106a5bd3cf21af210a755f9c8740890a8c9,9530000
arbitrum,fUSDC ,fUSDC / USDC 0.005%,https://www.geckoterminal.com//arbitrum/pools/0xac07ed4cbdda2cb17f9aeca2919c825dcb2882b9,0xac07ed4cbdda2cb17f9aeca2919c825dcb2882b9,59610
arbitrum,HMX ,HMX / WETH 0.3%,https://www.geckoterminal.com//arbitrum/pools/0x05bbaaa020ff6bea107a9a1e06d2feb7bfd79ed2,0x05bbaaa020ff6bea107a9a1e06d2feb7bfd79ed2,1510000
arbitrum,BPET ,BPET / WETH 1%,https://www.geckoterminal.com//arbitrum/pools/0xd02a4969dc12bb889754361f8bcf3385ac1b2077,0xd02a4969dc12bb889754361f8bcf3385ac1b2077,817880
arbitrum,LINK ,LINK / WETH 0.3%,https://www.geckoterminal.com//arbitrum/pools/0x468b88941e7cc0b88c1869d68ab6b570bcef62ff,0x468b88941e7cc0b88c1869d68ab6b570bcef62ff,4160000
arbitrum,XPET ,XPET / WETH 0.3%,https://www.geckoterminal.com//arbitrum/pools/0xa67f72f21bd9f91db2da2d260590da5e6c437009,0xa67f72f21bd9f91db2da2d260590da5e6c437009,2950000
arbitrum,NST ,NST / WETH 0.3%,https://www.geckoterminal.com//arbitrum/pools/0x53d3e59faac08184720bcb2816f4cf5b36d6767d,0x53d3e59faac08184720bcb2816f4cf5b36d6767d,572160
arbitrum,wstETH ,wstETH / WETH 0.01%,https://www.geckoterminal.com//arbitrum/pools/0x35218a1cbac5bbc3e57fd9bd38219d37571b3537,0x35218a1cbac5bbc3e57fd9bd38219d37571b3537,8470000
arbitrum,GTA ,GTA / USDT,https://www.geckoterminal.com//arbitrum/pools/0x0a4f9962e24893a4a7567e52c1ce37d5482365de,0x0a4f9962e24893a4a7567e52c1ce37d5482365de,1030000
arbitrum,KNOW ,KNOW / WETH,https://www.geckoterminal.com//arbitrum/pools/0xc49e1238820a53844efb1b935430bcbdea1dbb7c,0xc49e1238820a53844efb1b935430bcbdea1dbb7c,166980
arbitrum,WINR ,WINR / USDC 1.007%,https://www.geckoterminal.com//arbitrum/pools/0xc35aa1cec34e02a8acc3e5f79c22be364823094c,0xc35aa1cec34e02a8acc3e5f79c22be364823094c,4320000
arbitrum,USDT ,USDT / USDC,https://www.geckoterminal.com//arbitrum/pools/0x0242dd3b2e792cdbd399cc6195951bc202aee97b,0x960ea3e3c7fb317332d990873d354e18d7645590,1880000
arbitrum,JOE ,JOE / WETH,https://www.geckoterminal.com//arbitrum/pools/0x4b9bfed1dd4e6780454b2b02213788f31ffba74a,0x4b9bfed1dd4e6780454b2b02213788f31ffba74a,51590
arbitrum,GSWIFT ,GSWIFT / USDC,https://www.geckoterminal.com//arbitrum/pools/0x5f6b6c3eec0126a4f3c57d68ca491ac95b149556,0x5f6b6c3eec0126a4f3c57d68ca491ac95b149556,1020000
arbitrum,EMC ,EMC / USDT 0.3%,https://www.geckoterminal.com//arbitrum/pools/0x47b6de853d181626918eecb1e0ed946a5cf96449,0x47b6de853d181626918eecb1e0ed946a5cf96449,1090000
arbitrum,DAI ,DAI / USDT 0.01%,https://www.geckoterminal.com//arbitrum/pools/0x7f580f8a02b759c350e6b8340e7c2d4b8162b6a9,0x7f580f8a02b759c350e6b8340e7c2d4b8162b6a9,938510
arbitrum,rsETH ,rsETH / WETH 0.01%,https://www.geckoterminal.com//arbitrum/pools/0x48b0ab72c2591849e678e7d6f272b75ef9b863f7,0x48b0ab72c2591849e678e7d6f272b75ef9b863f7,4410000
arbitrum,MGP ,MGP / WETH 0.25%,https://www.geckoterminal.com//arbitrum/pools/0x5e3c3a063cc9a4aeb5310c7fadc2a98aebdd245d,0x5e3c3a063cc9a4aeb5310c7fadc2a98aebdd245d,2290000
